距離 (m),經度,緯度
0.0,121.802,24.8581
6.532733462677225,121.80107,24.8539
504.50058642367685,121.8031,24.526
1003.982050261154,121.8017,24.8549
1007.4880765845386,121.804,24.8551
1010.2593136858486,121.8037,24.8533
1012.9114844760676,121.8054,24.8537
1016.1329821703432,121.8039,24.8522
1017.7473064910123,121.8032,24.853
1019.1474128587946,121.8038,24.8523
1020.3623157202285,121.803,24.8523
1021.1216300086213,121.8027,24.8519
1021.8809442970174,121.8023,24.8516
1022.5070908998434,121.8022,24.8512
1023.2664051882396,121.8022,24.8507
1024.707102754988,121.8025,24.8498
1030.697510224961,121.8059,24.8518
1032.955113907384,121.8048,24.8508
1033.87885960783,121.8042,24.8509
1036.8,121.8051,24.8492
